Date,TOT_POP
2000-04-01,281424600
2000-05-01,281643089
2000-06-01,281887481
2000-07-01,282162411
2000-08-01,282422213
2000-09-01,282693284
2000-10-01,282957962
2000-11-01,283197152
2000-12-01,283437649
2001-01-01,283647024
2001-02-01,283841797
2001-03-01,284047071
2001-04-01,284269299
2001-05-01,284487152
2001-06-01,284728443
2001-07-01,284968955
2001-08-01,285224368
2001-09-01,285493771
2001-10-01,285689399
2001-11-01,285921072
2001-12-01,286138973
2002-01-01,286340637
2002-02-01,286542998
2002-03-01,286723459
2002-04-01,286929463
2002-05-01,287151632
2002-06-01,287393588
2002-07-01,287625193
2002-08-01,287870555
2002-09-01,288129987
2002-10-01,288379244
2002-11-01,288610754
2002-12-01,288804655
2003-01-01,288998781
2003-02-01,289132739
2003-03-01,289258694
2003-04-01,289400188
2003-05-01,289554820
2003-06-01,289819527
2003-07-01,290107933
2003-08-01,290391551
2003-09-01,290656476
2003-10-01,290916101
2003-11-01,291160038
2003-12-01,291364214
2004-01-01,291553190
2004-02-01,291716878
2004-03-01,291888226
2004-04-01,292108553
2004-05-01,292350184
2004-06-01,292571704
2004-07-01,292805298
2004-08-01,293057495
2004-09-01,293309033
2004-10-01,293573356
2004-11-01,293801454
2004-12-01,294015263
2005-01-01,294230649
2005-02-01,294380349
2005-03-01,294558690
2005-04-01,294784353
2005-05-01,295030999
2005-06-01,295262724
2005-07-01,295516599
2005-08-01,295771752
2005-09-01,296040189
2005-10-01,296306871
2005-11-01,296514546
2005-12-01,296762293
2006-01-01,296987570
2006-02-01,297219147
2006-03-01,297423035
2006-04-01,297649663
2006-05-01,297869406
2006-06-01,298118142
2006-07-01,298379912
2006-08-01,298630579
2006-09-01,298908360
2006-10-01,299159981
2006-11-01,299395746
2006-12-01,299658194
2007-01-01,299890446
2007-02-01,300095558
2007-03-01,300288381
2007-04-01,300511531
2007-05-01,300728176
2007-06-01,300968228
2007-07-01,301231207
2007-08-01,301500377
2007-09-01,301772224
2007-10-01,302026271
2007-11-01,302287110
2007-12-01,302533358
2008-01-01,302754346
2008-02-01,302966260
2008-03-01,303185074
2008-04-01,303381938
2008-05-01,303616954
2008-06-01,303847001
2008-07-01,304093966
2008-08-01,304357665
2008-09-01,304614210
2008-10-01,304858602
2008-11-01,305093832
2008-12-01,305298802
2009-01-01,305519874
2009-02-01,305714782
2009-03-01,305920351
2009-04-01,306112520
2009-05-01,306321829
2009-06-01,306541114
2009-07-01,306771529
2009-08-01,307007040
2009-09-01,307267930
2009-10-01,307518237
2009-11-01,307757459
2009-12-01,307954399
2010-01-01,308169976
2010-02-01,308375613
2010-03-01,308565817
2010-04-01,308758105
2010-05-01,308943167
2010-06-01,309122946
2010-07-01,309321666
2010-08-01,309535947
2010-09-01,309763500
2010-10-01,309989569
2010-11-01,310174426
2010-12-01,310348632
2011-01-01,310538923
2011-02-01,310693489
2011-03-01,310832137
2011-04-01,311009155
2011-05-01,311183465
2011-06-01,311351195
2011-07-01,311556874
2011-08-01,311764497
2011-09-01,311997529
2011-10-01,312207836
2011-11-01,312397256
2011-12-01,312588416
2012-01-01,312786761
2012-02-01,312932963
2012-03-01,313112458
2012-04-01,313283352
2012-05-01,313446781
2012-06-01,313634392
2012-07-01,313830990
2012-08-01,314048849
2012-09-01,314282839
2012-10-01,314498196
2012-11-01,314695119
2012-12-01,314872482
2013-01-01,315035869
2013-02-01,315160296
2013-03-01,315301845
2013-04-01,315464179
2013-05-01,315607825
2013-06-01,315806910
2013-07-01,315993715
2013-08-01,316202222
2013-09-01,316433402
2013-10-01,316656651
2013-11-01,316876274
2013-12-01,317055638
2014-01-01,317243472
2014-02-01,317408987
2014-03-01,317564034
2014-04-01,317730420
2014-05-01,317914973
2014-06-01,318105760
2014-07-01,318301008
2014-08-01,318539492
2014-09-01,318774334
2014-10-01,319005484
2014-11-01,319221927
2014-12-01,319412095
2015-01-01,319594955
2015-02-01,319734181
2015-03-01,319890583
2015-04-01,320063719
2015-05-01,320244536
2015-06-01,320430500
2015-07-01,320635163
2015-08-01,320857156
2015-09-01,321080050
2015-10-01,321311006
2015-11-01,321502565
2015-12-01,321710374
2016-01-01,321864095
2016-02-01,322035525
2016-03-01,322196377
2016-04-01,322368465
2016-05-01,322548296
2016-06-01,322734136
2016-07-01,322941311
2016-08-01,323143492
2016-09-01,323346446
2016-10-01,323561216
2016-11-01,323743389
2016-12-01,323907436
2017-01-01,324076093
2017-02-01,324208204
2017-03-01,324342783
2017-04-01,324480012
2017-05-01,324636728
2017-06-01,324801865
2017-07-01,324985539
2017-08-01,325158822
2017-09-01,325339848
2017-10-01,325507794
2017-11-01,325663325
2017-12-01,325802062
2018-01-01,325927236
2018-02-01,326031740
2018-03-01,326140981
2018-04-01,326260373
2018-05-01,326392347
2018-06-01,326533251
2018-07-01,326687501
2018-08-01,326850358
2018-09-01,327011652
2018-10-01,327170529
2018-11-01,327310325
2018-12-01,327431120
2019-01-01,327540066
2019-02-01,327635482
2019-03-01,327733545
2019-04-01,327842998
2019-05-01,327964770
2019-06-01,328095474
2019-07-01,328239523
2019-08-01,328409545
2019-09-01,328578004
2019-10-01,328744045
2019-11-01,328891009
2019-12-01,329018969
2020-01-01,329135084
2020-02-01,329237661
2020-03-01,329342883
2020-04-01,329459499
2020-05-01,329588430
2020-06-01,329726295
2020-07-01,329877505
2020-08-01,330047526
2020-09-01,330215986
2020-10-01,330382026
2020-11-01,330528990
2020-12-01,330656950
